UIC;Nom de la gare;Adresse;CodePostal;Ville;Accessibilité
87613000;Cahors;66 Place Jouinot;46000;Cahors;Bande d'éveil de vigilance sur les quais
87645481;Murat;Gare SNCF;15300;Murat;Assistance proposée pour accéder aux quais et monter / descendre du train
87671008;Tarbes;25, Avenue Marechal Joffre;65000;Tarbes;Information sonore en gare et/ou sur les quais
87671339;Lourdes;33 avenue de la gare;65100;Lourdes;Toilettes
87672006;Pau;Avenue Jean Biray;64000;Pau;Toilettes
87672253;Orthez;Avenue de la gare;64300;Orthez;Écrans d'information en gare et/ou sur les quais
87673202;Dax;7 avenue de la gare;40100;Dax;Écrans d'information en gare et/ou sur les quais
87677005;Hendaye;Bd Général de Gaulle;64700;Hendaye;Écrans d'information en gare et/ou sur les quais
87696005;Nevers;10, rue du Chemin de Fer;58000;Nevers;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87696484;Decize;Place St Thibault;58300;Decize;Toilettes
87713412;Dole;rue Aristide Briand;39100;Dole;Assistance proposée pour accéder aux quais et monter / descendre du train
87713529;Nuits-Saint-Georges;Rue des Blés;21700;Nuits-Saint-Georges;Présence du personnel
87723197;Lyon Part Dieu;5, Place Charles Béraudier;69003;Lyon;Information sonore en gare et/ou sur les quais
87734749;Retournac;Avenue de la Gare;43130;Retournac;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87741645;Albertville;2, place de la gare;73200;Albertville;Présence du personnel
87741728;Moûtiers - Salins - Brides-les-Bains;Rue Greyffié de Bellecombe;73600;Moutiers;Écrans d'information en gare et/ou sur les quais
87751008;Marseille Saint-Charles;Square Narvik;13232;Marseille;Assistance proposée pour accéder aux quais et monter / descendre du train
87751008;Marseille Saint-Charles;Square Narvik;13232;Marseille;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87757625;Cannes;4, place de la Gare;6400;Cannes;Toilettes
87775007;Nîmes;1, Boulevard Sergent Triaire;30000;Nîmes cedex;Présence du personnel
87784298;Banyuls-sur-Mer;Avenue de la Gare;66650;Banyuls-sur-Mer;Écrans d'information en gare et/ou sur les quais
87147322;Meuse TGV;Lieu dit Le Cugnet MONDRECOURT;55220;Les Trois Domaines;Présence du personnel
87286542;Tourcoing;11 Rue Pierre Sémard;59200;Tourcoing;Fauteuil roulant à disposition
87313049;Longueau;Route de Boves;80330;Longueau;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87343004;Valenciennes;Place de la gare;59300;Valenciennes;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87411017;Rouen Rive Droite;Place Bernard Tissot;76000;Rouen;Information sonore en gare et/ou sur les quais
87411017;Rouen Rive Droite;Place Bernard Tissot;76000;Rouen;Présence du personnel
87584052;Libourne;72 avenue Gallieni;33500;Libourne;Assistance proposée pour accéder aux quais et monter / descendre du train
87673202;Dax;7 avenue de la gare;40100;Dax;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87677120;Saint-Jean-de-Luz - Ciboure;Avenue de Verdun;64500;Saint-Jean-de-Luz;Bande d'éveil de vigilance sur les quais
87677120;Saint-Jean-de-Luz - Ciboure;Avenue de Verdun;64500;Saint-Jean-de-Luz;Fauteuil roulant à disposition
87683573;Auxerre Saint-Gervais;6 Rue Paul DOUMER;89000;Auxerre;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87696146;Cosne-sur-Loire;Place de la Gare;58200;Cosne Sur Loire;Fauteuil roulant à disposition
87703975;Nîmes Pont-du-Gard;Chemin de Jonquières Connelle Nord;30129;Manduel;Information sonore en gare et/ou sur les quais
87713529;Nuits-Saint-Georges;Rue des Blés;21700;Nuits-Saint-Georges;Fauteuil roulant à disposition
87718239;Lons-le-Saunier;5 boulevard GAMBETTA;39000;Lons Le Saunier;Assistance proposée pour accéder aux quais et monter / descendre du train
87723197;Lyon Part Dieu;5, Place Charles Béraudier;69003;Lyon;Boucle à induction magnétique
87725002;Chalon-sur-Saône;Cour de la gare;71100;Chalon Sur Saône;Toilettes adaptées aux personnes en fauteuil roulant
87725705;Mâcon Loché TGV;142, rue de Pouilly Loché;71000;Loché;Assistance proposée pour accéder aux quais et monter / descendre du train
87734269;Brioude;Gare SNCF de Brioude;43100;Brioude;Bande d'éveil de vigilance sur les quais
87116582;Château-Thierry;Place Jean Monnet;2400;Chateau Thierry;Toilettes
87147322;Meuse TGV;Lieu dit Le Cugnet MONDRECOURT;55220;Les Trois Domaines;Toilettes adaptées aux personnes en fauteuil roulant
87172007;Charleville-Mézières;Place de la gare;8000;Charleville-Mezieres;Toilettes adaptées aux personnes en fauteuil roulant
87191007;Thionville;10 place de la gare;57100;Thionville;Toilettes adaptées aux personnes en fauteuil roulant
87281006;Dunkerque;Place de la gare;59140;Dunkerque;Présence du personnel
87281071;Calais - Fréthun;;62185;Gare TGV de Calais Frethun;Toilettes
87281071;Calais - Fréthun;;62185;Gare TGV de Calais Frethun;Présence du personnel
87317362;Abbeville;Place de la Gare;80100;Abbeville;Information sonore en gare et/ou sur les quais
87345009;Douai;Place de la Gare;59500;Douai;Écrans d'information en gare et/ou sur les quais
87387001;Évreux Normandie;4 boulevard Gambetta;27000;Evreux;Toilettes adaptées aux personnes en fauteuil roulant
87393702;Massy TGV;7, Avenue Carnot;91300;Massy;Information sonore en gare et/ou sur les quais
87394007;Chartres;8 pl Pierre Sémard;28000;Chartres;Toilettes adaptées aux personnes en fauteuil roulant
87396002;Le Mans;Place du 8 mai 1945;72000;Le Mans;Boucle à induction magnétique
87415877;Val-de-Reuil;Route des Falaises;27100;Val De Reuil;Présence du personnel
87444265;Lisieux;Place Pierre Sémard;14100;Lisieux;Assistance proposée pour accéder aux quais et monter / descendre du train
87444372;Trouville - Deauville;Place Louis Armand;14360;Deauville;Écrans d'information en gare et/ou sur les quais
87473009;Saint-Brieuc;Place François Mitterrand;22000;St Brieuc;Écrans d'information en gare et/ou sur les quais
87474338;Morlaix;Place du colonel Rol Tanguy;29600;Morlaix;Toilettes adaptées aux personnes en fauteuil roulant
87476002;Lorient;Esplanade Francois Mitterand;56100;Lorient;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87481002;Nantes;27, boulevard de Stalingrad;44041;Nantes cedex 1;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87484006;Angers Saint-Laud;1, esplanade de la gare;49100;Angers;Information sonore en gare et/ou sur les quais
87485003;La Rochelle;Place Pierre Sémard;17000;La Rochelle;Information sonore en gare et/ou sur les quais
87543017;Les Aubrais;Rue Lamartine;45400;Fleury Les Aubrais;Écrans d'information en gare et/ou sur les quais
87574004;Blois Chambord;70, boulevard Daniel DUPUIS;41000;Blois;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87575001;Poitiers;2 Boulevard Pont Achard;86000;Poitiers;Présence du personnel
87576207;Bourges;Place du Général LECLERC;18000;Bourges;Information sonore en gare et/ou sur les quais
87583005;Angoulême;4, place de la gare;16000;ANGOULEME CEDEX En dehors des heures d'ouverture d;Fauteuil roulant à disposition
87584052;Libourne;72 avenue Gallieni;33500;Libourne;Information sonore en gare et/ou sur les quais
87597005;Châteauroux;Rue Bourdillon;36000;Chateauroux;Toilettes adaptées aux personnes en fauteuil roulant
87597005;Châteauroux;Rue Bourdillon;36000;Chateauroux;Présence du personnel
